from,to
0,1
2,3
2,4
5,6
5,7
8,9
10,11
12,13
12,14
15,16
17,18
12,19
20,21
20,22
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
23,40
41,42
43,44
45,46
47,48
49,50
41,51
52,53
54,55
54,56
54,57
54,58
54,59
60,61
54,54
62,63
64,65
62,4
66,67
68,69
42,41
70,71
72,21
71,70
73,74
75,76
75,48
77,78
77,79
80,81
80,68
19,62
82,83
22,21
82,84
21,72
41,85
41,86
41,87
82,86
88,89
90,91
92,20
41,93
41,94
41,95
89,96
89,88
97,98
97,99
97,100
97,101
97,102
103,104
51,41
82,105
90,106
62,107
108,109
108,66
108,110
108,111
108,112
113,114
115,116
117,118
76,119
17,120
82,121
122,123
14,12
124,125
13,126
127,128
127,129
127,130
131,132
40,26
40,29
18,133
56,55
56,54
56,59
134,6
115,62
135,136
137,138
137,137
22,20
139,140
141,142
143,143
143,51
143,133
144,145
146,147
83,82
148,149
150,103
150,150
49,84
151,28
152,153
153,152
154,155
156,157
139,15
158,159
4,2
4,3
133,18
160,161
84,162
84,50
84,49
84,71
72,163
164,139
165,166
167,168
123,122
169,115
169,170
40,171
123,103
123,172
123,61
123,123
24,96
81,80
173,21
174,175
176,177
176,178
122,179
21,22
180,130
181,182
129,183
184,184
181,179
185,52
70,186
106,187
137,175
137,174
188,189
108,190
191,157
191,191
192,193
192,194
192,195
192,2
192,192
41,196
41,197
41,198
41,199
41,200
41,167
41,201
41,202
41,203
41,204
41,205
41,206
41,207
208,208
61,123
209,210
41,128
211,54
115,212
106,189
137,208
212,115
56,58
30,25
30,36
30,41
155,213
48,47
214,180
96,24
4,4
4,62
155,215
216,15
170,170
71,217
71,50
71,49
13,13
98,97
74,1
74,218
74,219
74,215
74,220
74,221
74,222
74,223
74,18
74,224
74,225
74,226
74,227
74,17
74,228
229,64
100,97
230,21
230,20
231,232
233,209
233,234
233,235
233,236
233,159
233,237
233,210
233,238
233,239
233,240
233,241
233,242
233,243
233,244
245,115
246,247
248,74
13,238
106,62
106,249
13,27
13,209
103,250
40,251
175,252
169,251
115,169
232,231
75,253
75,40
175,174
254,137
249,212
249,255
249,256
222,74
183,257
17,218
183,198
183,258
183,183
19,12
259,72
259,260
75,261
115,170
251,169
262,262
263,263
264,265
264,266
264,267
106,268
269,45
129,270
271,272
81,256
46,139
46,15
46,273
46,272
46,274
46,164
46,216
46,45
275,276
277,277
155,114
158,62
129,278
101,101
29,40
279,107
155,208
231,280
281,281
282,283
155,284
46,46
160,28
160,23
285,286
285,211
258,183
69,287
280,231
212,249
162,288
162,71
162,84
280,289
280,270
280,196
280,168
280,167
280,290
280,203
280,14
280,291
280,284
280,129
280,130
280,292
293,19
254,226
129,294
189,106
295,296
165,115
287,69
287,80
74,248
74,297
74,73
298,299
281,137
147,62
147,249
62,300
301,248
302,303
303,302
304,303
252,233
252,166
252,121
252,145
252,115
136,115
92,22
303,304
268,106
252,212
252,288
252,58
252,175
252,305
252,48
12,293
306,62
281,2
236,209
236,238
236,235
236,243
236,244
102,97
175,15
6,5
17,307
17,308
17,1
17,177
17,74
17,309
17,215
17,248
17,220
17,310
17,85
17,311
17,221
17,312
17,222
17,313
17,223
17,0
17,224
17,314
17,225
17,315
17,226
17,73
17,316
17,317
17,228
245,318
35,62
236,319
167,167
167,201
167,133
167,18
320,321
254,62
322,45
220,177
215,295
321,320
102,323
102,300
147,212
147,42
147,105
11,324
21,173
21,325
21,10
21,20
21,306
21,326
21,327
21,230
328,329
64,229
215,5
209,236
18,62
73,330
73,248
73,331
73,297
73,17
290,290
141,332
69,306
139,46
333,114
334,335
336,337
336,116
336,165
336,115
336,136
336,338
336,169
336,251
336,135
336,339
340,134
251,336
58,57
341,74
341,309
341,215
341,311
341,222
341,316
191,342
191,277
191,149
191,262
191,343
191,344
191,345
191,346
191,214
191,347
191,348
191,349
191,350
191,284
191,351
191,231
191,278
191,130
191,178
191,122
191,179
191,352
191,207
353,354
353,185
90,13
114,155
288,233
142,355
356,357
114,113
47,339
194,194
194,195
63,137
43,358
63,63
359,360
86,128
64,5
160,187
114,361
232,103
244,236
160,190
69,212
335,334
114,129
243,271
184,190
212,69
62,18
44,362
44,293
271,243
310,62
252,105
88,303
153,62
363,283
363,161
363,280
363,256
363,211
363,364
363,106
363,236
363,365
363,249
114,263
114,318
145,87
145,252
263,114
39,28
105,252
153,366
165,28
165,114
165,169
165,367
37,37
52,185
187,329
187,106
220,223
52,52
52,368
252,304
252,96
252,89
252,88
252,302
252,369
116,169
362,44
362,293
184,298
169,116
178,176
265,264
236,363
195,194
40,370
238,236
170,136
353,371
86,205
86,41
190,184
372,373
288,162
160,113
54,211
180,343
55,58
160,263
62,153
374,44
58,208
62,340
14,290
170,115
5,215
80,375
376,377
22,92
94,201
58,162
55,54
295,378
295,379
295,103
295,380
295,381
295,382
295,376
295,181
295,383
295,384
295,283
295,157
295,385
295,386
295,387
295,388
295,389
295,390
295,61
295,391
295,392
295,393
295,394
295,250
295,395
295,396
295,397
295,398
295,377
295,368
295,104
295,321
295,60
295,150
295,320
295,295
40,35
37,30
133,307
133,399
133,167
133,400
133,133
133,401
133,232
133,291
133,284
133,206
133,402
133,52
133,179
133,403
68,21
404,166
